code,codeseq,desc,gen_desc,acc_code
"0124","30"," Craniotomy remove clot intracranial"," Other craniotomy"," ",
"0124","31"," Burr hole"," Other craniotomy"," ",
"0125","01"," Craniectomy"," Other craniectomy"," ",
"0125","02"," Craniotomy"," Other craniectomy"," ",
"0125","03"," Debridement skull"," Other craniectomy"," ",
"0125","04"," Lt craniectomy"," Other craniectomy"," ",
"0125","05"," Recraniectomy"," Other craniectomy"," ",
"0125","06"," Retrosigmoid craniectomy"," Other craniectomy"," ",
"0125","07"," Rt rectosigmoid craniectomy"," Other craniectomy"," ",
"0125","08"," Rt.Craniectomy"," Other craniectomy"," ",
"0125","09"," Wide craniectomy"," Other craniectomy"," ",
"0125","10"," Suboccipital craniectomy"," Other craniectomy"," ",
"0125","11"," Posterior fossa craniectomy"," Other craniectomy"," ",
"0125","12"," Decompression craniectomy"," Other craniectomy"," ",
"0126","00","","Insertion of catheter(s) into cranial cavity or tissue"," ",
"0127","00","","Removal of catheter(s) from cranial cavity or tissue"," ",
"0128","00","","Placement of intracerebral catheter(s) via burr hole(s)"," ",
"013","00",""," Incision of brain and cerebral meninges","*",
"0131","01"," Bifrontal-craniectomy"," Incision of cerebral meninges"," ",
"0131","02"," Bilateral burr hole SDH"," Incision of cerebral meninges"," ",
"0131","03"," Burr hole C irrigation subarachnoid"," Incision of cerebral meninges"," ",
"0131","04"," Burr hole irrigation subdural"," Incision of cerebral meninges"," ",
"0131","05"," Burr holes C irrigation subdural"," Incision of cerebral meninges"," ",
"0131","06"," Craniotomy remove"," Incision of cerebral meninges"," ",
"0131","07"," Craniotomy remove subdural hematoma"," Incision of cerebral meninges"," ",
"0131","08"," Craniotomy subdural drain"," Incision of cerebral meninges"," ",
"0131","09"," Burr hole c irrigation subdural"," Incision of cerebral meninges"," ",
"0131","10"," Removal tumor (meningioma)"," Incision of cerebral meninges"," ",
"0131","11"," Burr holes C irrigation SDH"," Incision of cerebral meninges"," ",
"0131","12"," Craniotomy meningioma remove"," Incision of cerebral meninges"," ",
"0132","00",""," Lobotomy and tractotomy"," ",
"0139","01"," Bilateral frontal ventricular drainage"," Other incision of brain"," ",
"0139","02"," Burr hole C drainage"," Other incision of brain"," ",
"0139","03"," Clot removal brain"," Other incision of brain"," ",
"0139","04"," Craniotomy C remove clot brain"," Other incision of brain"," ",
"0139","05"," Craniotomy remove cerebral confusion"," Other incision of brain"," ",
"0139","06"," Craniotomy remove intracerebral hematoma"," Other incision of brain"," ",
"0139","07"," Craniotomy with clot removal epidural"," Other incision of brain"," ",
"0139","08"," Craniotomy with removal clot brain"," Other incision of brain"," ",
"0139","09"," Drainage cerebral"," Other incision of brain"," ",
"0139","10"," Exploration of brain tumor"," Other incision of brain"," ",
"0139","11"," I&D brain"," Other incision of brain"," ",
"0139","12"," Opened drainage"," Other incision of brain"," ",
"0139","13"," RT suboccipital crainectomy"," Other incision of brain"," ",
"0139","14"," Reexplore (brain)"," Other incision of brain"," ",
"0139","15"," Rt frontal ventricular drainage"," Other incision of brain"," ",
"0139","16"," Rt subfrontal craniotomy"," Other incision of brain"," ",
"0139","17"," SRT"," Other incision of brain"," ",
"0139","18"," Ventricular drainage"," Other incision of brain"," ",
"0139","19"," Explore shunt lt basal"," Other incision of brain"," ",
"0139","20"," Craniectomy with clot removal"," Other incision of brain"," ",
"0139","21"," Craniotomy with removal clot intracerebral"," Other incision of brain"," ",
"0139","22"," Clot removal Brain"," Other incision of brain"," ",
"014","00",""," Operations on thalamus and globus pallidus","*",
"0141","00",""," Operations on thalamus"," ",
"0142","00",""," Operations on globus pallidus"," ",
"015","00",""," Other excision or destruction of brain and meninges","*",
"0151","01"," Craniotomy excision meningioma"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","02"," Craniotomy,tumor removal meningioma"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","03"," Dicortication with burr hole"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","04"," Far lateral transcondylar with total removal"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","05"," Rt presigmoid craniectomy ,total remove"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","06"," Total removal meningioma"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","07"," Excision meningocele"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","08"," CraniotomyRemove meningioma"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","09"," Decortication skull"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","10"," Craniotomy with tumor removal meningioma"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","11"," Craniotomy,tumor remove (meningioma)"," Excision of lesion or tissue of cerebral meninges"," ",
"0151","12"," Craniotomy meninges tumor removal"," Excision of lesion or tissue of cerebral meninges"," ",
"0152","00",""," Hemispherectomy"," ",
"0153","01"," Bifrontal lobectomy"," Lobectomy of brain"," ",
"0153","02"," Lt temporal lobecting"," Lobectomy of brain"," ",
"0153","03"," Lt temporal lobectomy"," Lobectomy of brain"," ",
"0153","04"," RT temporal lobe lobectomy"," Lobectomy of brain"," ",
"0153","05"," Recraniotomy C Lt frontal lobectomy"," Lobectomy of brain"," ",
"0153","06"," Rt temporal lobectomy"," Lobectomy of brain"," ",
"0153","07"," Temperal Lobectomy"," Lobectomy of brain"," ",
"0153","08"," Temporal lobectomy"," Lobectomy of brain"," ",
"0159","01"," Burr hole C irrigation"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","02"," Craniectomy C remove tumor cerebella"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","03"," Craniectomy with removal cavernoma"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","04"," Craniotomy C remove tumor brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","05"," Craniotomy C total tumor remove brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","06"," Craniotomy C tumor removal brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","07"," Craniotomy C tumor removal temporal lobe"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","08"," Craniotomy C tumor remove brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","09"," Craniotomy remove intraventricular tumor"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","10"," Craniotomy with partial removal brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","11"," Craniotomy with removal tumor brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","12"," Craniotomy with tumor removal brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","13"," Debride nonfunction brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","14"," Endoscopic remove adhesion and fibrosis brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","15"," Excision arachnoid"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","16"," Excision cavernous"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","17"," Explore lap with tumor removal"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","18"," Partial brain tumor removal"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","19"," Partial remove brain tumor"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","20"," Partial remove tumor brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","21"," Recarniotomy with partial removal brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","22"," Removal mass brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","23"," Removal tumor brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","24"," Rt pareital craniotomy C total cavernoma removal"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","25"," Subfrontal tumor removal"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","26"," Total tumor removal brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","27"," Transoral removal"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","28"," Transphenoid tumor removal brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","29"," Tumor removal"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","30"," Tumor removal brain"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","31"," Craniotomy with tumor removal"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","32"," Posterior fossa craniotomy with tumor removal"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","33"," Tumor removal cerebellum"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","34"," Craniotomy with excision brain abscess"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","35"," Craniotomy with brain tumor removal"," Other excision or destruction of lesion or tissue of brain"," ",
"0159","36"," Craniotomy remove cerebral hemangioma"," Other excision or destruction of lesion or tissue of brain"," ",
"016","01"," FX styloid LT"," Excision of lesion of skull"," ",
"016","02"," Fracture styloid process"," Excision of lesion of skull"," ",
"016","03"," Fx styloid"," Excision of lesion of skull"," ",
"016","04"," Lateral temporal bone resection"," Excision of lesion of skull"," ",
"016","05"," Wide excision skull"," Excision of lesion of skull"," ",
"016","06"," Fracture styloid"," Excision of lesion of skull"," ",
"016","07"," Fx Lt styloid process"," Excision of lesion of skull"," ",
"020","00",""," Cranioplasty","*",
"0201","00",""," Opening of cranial suture"," ",
"0202","01"," Decompression cranail C debridement"," Elevation of skull fracture fragments"," ",
"0202","02"," Debridement depress skull Fx"," Elevation of skull fracture fragments"," ",
"0202","03"," Debridement opened Fx skull"," Elevation of skull fracture fragments"," ",
"0202","04"," Debridement open Fx skull"," Elevation of skull fracture fragments"," ",
"0202","05"," Decompression skull Fx"," Elevation of skull fracture fragments"," ",
"0203","01"," Lt Frontal osteoplastic flap"," Formation of cranial bone flap"," ",
"0204","01"," Calvaria bone graft reconstruction"," Bone graft to skull"," ",
"0204","02"," Calvarial bone graft"," Bone graft to skull"," ",
"0204","03"," Calvarial graft"," Bone graft to skull"," ",
"0205","00",""," Insertion of skull plate"," ",
"0206","01"," Acrylic cranioplasty"," Other cranial osteoplasty"," ",
"0206","02"," Cranioplasty"," Other cranial osteoplasty"," ",
"0206","03"," Cranioplasty skull"," Other cranial osteoplasty"," ",
"0206","04"," Repair anterior cranial base rt defect"," Other cranial osteoplasty"," ",
"0206","05"," Craniotomy with sphenoid bone contouring"," Other cranial osteoplasty"," ",
"0206","06"," Fronto-orbital advancement"," Other cranial osteoplasty"," ",
"0207","00",""," Removal of skull plate"," ",
"021","00",""," Repair of cerebral meninges","*",
"0211","00",""," Simple suture of dura mater of brain"," ",
"0212","01"," Craniotomy C Dural repair"," Other repair of cerebral meninges"," ",
"0212","02"," Craniotomy c dural repair"," Other repair of cerebral meninges"," ",
"0212","03"," Duraplasty"," Other repair of cerebral meninges"," ",
"0212","04"," Excision"," Other repair of cerebral meninges"," ",
"0212","05"," Repair FEEM"," Other repair of cerebral meninges"," ",
"0212","06"," Repair dura"," Other repair of cerebral meninges"," ",
"0212","07"," Repair fistula CSF"," Other repair of cerebral meninges"," ",
"0212","08"," Craniotomy,closure CC fistula cerebral"," Other repair of cerebral meninges"," ",
"0212","09"," Closure meningocele"," Other repair of cerebral meninges"," ",
"0213","00",""," Ligation of meningeal vessel"," ",
"0214","00",""," Choroid plexectomy"," ",
"022","01"," Bilateral ventriculostomy"," Ventriculostomy"," ",
"022","02"," Rt ventriculostomy"," Ventriculostomy"," ",
"022","03"," Tape ommoya shunt"," Ventriculostomy"," ",
"022","04"," Ventriculostomy"," Ventriculostomy"," ",
"022","05"," Ventriculostomy bilat"," Ventriculostomy"," ",
"022","06"," Ventriculotomy"," Ventriculostomy"," ",
"022","07"," Endoscopy assited 3rd ventriculostomy"," Ventriculostomy"," ",
"023","01"," Ventricular drainage"," Extracranial ventricular shunt","*",
"0231","00",""," Ventricular shunt to structure in head and neck"," ",
"0232","00",""," Ventricular shunt to circulatory system"," ",
"0233","00",""," Ventricular shunt to thoracic cavity"," ",
"0234","01"," Cystoperitoneal shunt"," Ventricular shunt to abdominal cavity and organs"," ",
"0234","02"," RT Frontal VP shunt"," Ventricular shunt to abdominal cavity and organs"," ",
"0234","03"," Rt VP shunt"," Ventricular shunt to abdominal cavity and organs"," ",
"0234","04"," V-P shunt"," Ventricular shunt to abdominal cavity and organs"," ",
"0234","05"," VP shunt"," Ventricular shunt to abdominal cavity and organs"," ",
"0234","06"," V-P shunt"," Ventricular shunt to abdominal cavity and organs"," ",
"0234","07"," VP Shunt"," Ventricular shunt to abdominal cavity and organs"," ",
"0234","08"," VP shunt"," Ventricular shunt to abdominal cavity and organs"," ",
"0235","00",""," Ventricular shunt to urinary system"," ",
"0239","01"," Bilateral ventricular drainage"," Other operations to establish drainage of ventricle"," ",
"0239","02"," Craniotomy remove IVH"," Other operations to establish drainage of ventricle"," ",
"0239","03"," External ventricular drainage"," Other operations to establish drainage of ventricle"," ",
"0239","04"," Ventriculo lumbar shunt"," Other operations to establish drainage of ventricle"," ",
"024","00",""," Revision, removal, and irrigation of ventricular shunt","*",
"0241","01"," Irrigation ventricular shunt"," Irrigation of ventricular shunt"," ",
"0241","02"," Revised ventricular drainage VP shunt"," Irrigation of ventricular shunt"," ",
"0242","01"," Proximal shunt revised"," Replacement of ventricular shunt"," ",
"0242","02"," Revise VP shunt"," Replacement of ventricular shunt"," ",
"0242","03"," Revise distal shunt"," Replacement of ventricular shunt"," ",
"0242","04"," Revise ommaya's shunt"," Replacement of ventricular shunt"," ",
"0242","05"," Revise ommoya's shunt"," Replacement of ventricular shunt"," ",
"0242","06"," Revise proximal and distal shunt"," Replacement of ventricular shunt"," ",
"0242","07"," Revise proximal shunt"," Replacement of ventricular shunt"," ",
"0242","08"," Revise proximal shunt Lt"," Replacement of ventricular shunt"," ",
"0242","09"," Revised VP shunt"," Replacement of ventricular shunt"," ",
"0242","10"," Revised distal shunt"," Replacement of ventricular shunt"," ",
"0242","11"," Revised proximal shunt"," Replacement of ventricular shunt"," ",
"0242","12"," Revision V-P shunt"," Replacement of ventricular shunt"," ",
"0242","13"," Revision VP shunt"," Replacement of ventricular shunt"," ",
"0242","14"," Revision proximal shunt"," Replacement of ventricular shunt"," ",
"0242","15"," Revised distal VP shunt"," Replacement of ventricular shunt"," ",
"0243","01"," OFF VP shunt"," Removal of ventricular shunt"," ",
"0243","02"," Off VP shunt"," Removal of ventricular shunt"," ",
"0243","03"," Remove VP shunt"," Removal of ventricular shunt"," ",
"0243","04"," Remove VP shunt Lt"," Removal of ventricular shunt"," ",
"0243","05"," Remove distal shunt"," Removal of ventricular shunt"," ",
"029","00",""," Other operations on skull, brain, and cerebral meninges","*",
"0291","00",""," Lysis of cortical adhesions"," ",
"0292","00",""," Repair of brain"," ",
"0293","00",""," Implantation or replacement of intracranial neurostimulator lead(s)"," ",
"0294","00",""," Insertion or replacement of skull tongs or halo traction device"," ",
"0295","00",""," Removal of skull tongs or halo traction device"," ",
"0296","00",""," Insertion of sphenoidal electrodes"," ",
"0299","00",""," Skull & brain op NEC"," ",
"030","00",""," Exploration and decompression of spinal canal structures","*",
"0301","00",""," Removal of foreign body from spinal canal"," ",
"0302","00",""," Reopening of laminectomy site"," ",
"0309","01"," Anterior decompression , decompression; spine , laminoplasty"," Other exploration and decompression of spinal canal"," ",
"0309","02"," Anterior decompression L1"," Other exploration and decompression of spinal canal"," ",
"0309","03"," Bilateral foraminotomy L4-5"," Other exploration and decompression of spinal canal"," ",
"0309","04"," C3-C7 Laminoplasty"," Other exploration and decompression of spinal canal"," ",
"0309","05"," Core decompression"," Other exploration and decompression of spinal canal"," ",
"0309","06"," Core decompression hip"," Other exploration and decompression of spinal canal"," ",
"0309","07"," Corpectomy C6"," Other exploration and decompression of spinal canal"," ",
"0309","08"," Decompression"," Other exploration and decompression of spinal canal"," ",
"0309","09"," Decompression L3-4"," Other exploration and decompression of spinal canal"," ",
"0309","10"," Decompression L3-L5"," Other exploration and decompression of spinal canal"," ",
"0309","11"," Decompression L4-5"," Other exploration and decompression of spinal canal"," ",
"0309","12"," Decompression T5"," Other exploration and decompression of spinal canal"," ",
"0309","13"," Decompression laminectomy"," Other exploration and decompression of spinal canal"," ",
"0309","14"," Decompression rt L3-5"," Other exploration and decompression of spinal canal"," ",
"0309","15"," Drezotomy C4-C"," Other exploration and decompression of spinal canal"," ",
"0309","16"," Explore nerve root L4-5"," Other exploration and decompression of spinal canal"," ",
"0309","17"," Foraman magnum decompression with C1-2 laminectomy"," Other exploration and decompression of spinal canal"," ",
"0309","18"," Foraminectomy Lt"," Other exploration and decompression of spinal canal"," ",
"0309","19"," Foraminotomy"," Other exploration and decompression of spinal canal"," ",
"0309","20"," Hemilaminectomy"," Other exploration and decompression of spinal canal"," ",
"0309","21"," Laminectomy"," Other exploration and decompression of spinal canal"," ",
"0309","22"," Laminectomy C1-3"," Other exploration and decompression of spinal canal"," ",
"0309","23"," Laminectomy C2-3"," Other exploration and decompression of spinal canal"," ",
"0309","24"," Laminectomy C2-C6"," Other exploration and decompression of spinal canal"," ",
"0309","25"," Laminectomy C3-C6"," Other exploration and decompression of spinal canal"," ",
"0309","26"," Laminectomy C4-5"," Other exploration and decompression of spinal canal"," ",
"0309","27"," Laminectomy L1-4"," Other exploration and decompression of spinal canal"," ",
"0309","28"," Laminectomy L4"," Other exploration and decompression of spinal canal"," ",
"0309","29"," Laminectomy L4-5"," Other exploration and decompression of spinal canal"," ",
"0309","30"," Laminectomy L4-S1"," Other exploration and decompression of spinal canal"," ",
"0309","31"," Laminectomy L5"," Other exploration and decompression of spinal canal"," ",
"0309","32"," Laminectomy S1"," Other exploration and decompression of spinal canal"," ",
"0309","33"," Laminectomy T10-L1"," Other exploration and decompression of spinal canal"," ",
"0309","34"," Laminectomy T6-10"," Other exploration and decompression of spinal canal"," ",
"0309","35"," Laminectomy at L5"," Other exploration and decompression of spinal canal"," ",
"0309","36"," Laminectomy spinal"," Other exploration and decompression of spinal canal"," ",
"0309","37"," Laminectomy with spinal canal decompression"," Other exploration and decompression of spinal canal"," ",
"0309","38"," Laminoplasty"," Other exploration and decompression of spinal canal"," ",
"0309","39"," Laminotomy"," Other exploration and decompression of spinal canal"," ",
"0309","40"," Lt Laminectomy"," Other exploration and decompression of spinal canal"," ",
"0309","41"," Lt laminectomy"," Other exploration and decompression of spinal canal"," ",
"0309","42"," Open drainage spinal"," Other exploration and decompression of spinal canal"," ",
"0309","43"," Post decompression L2-5"," Other exploration and decompression of spinal canal"," ",
"0309","44"," Post decompression L3-5"," Other exploration and decompression of spinal canal"," ",
"0309","45"," Post decompression L4-5"," Other exploration and decompression of spinal canal"," ",
"0309","46"," Post decompression L4-5 S1"," Other exploration and decompression of spinal canal"," ",
"0309","47"," Post decompression spinal"," Other exploration and decompression of spinal canal"," ",
"0309","48"," Post decomrression spinal"," Other exploration and decompression of spinal canal"," ",
"0309","49"," Post-decompression L3-4,L5-S1"," Other exploration and decompression of spinal canal"," ",
"0309","50"," Posterior Decompression L5"," Other exploration and decompression of spinal canal"," ",
"0309","51"," Posterior Decompression lumbar"," Other exploration and decompression of spinal canal"," ",
