"Payer","Name","Coverage","Type","Province","ShortName","Project","GroupID","Customer"
"10688","โรงพยาบาลเสนา",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10689","โรงพยาบาลอ่างทอง",,,"อ่างทอง","รพ.รัฐบาล",,,
"10690","โรงพยาบาลพระนารายณ์มหาราช",,,"ลพบุรี","รพ.รัฐบาล",,,
"10691","โรงพยาบาลบ้านหมี่",,,"ลพบุรี","รพ.รัฐบาล",,,
"10692","โรงพยาบาลสิงห์บุรี",,,"สิงห์บุรี","รพ.รัฐบาล",,,
"10693","โรงพยาบาลอินทร์บุรี",,,"สิงห์บุรี","รพ.รัฐบาล",,,
"10694","โรงพยาบาลชัยนาท",,,"ชัยนาท","รพ.รัฐบาล",,,
"10695","โรงพยาบาลพระพุทธบาท",,,"สระบุรี","รพ.รัฐบาล",,,
"10696","โรงพยาบาลตราด",,,"ตราด","รพ.รัฐบาล",,,
"10697","โรงพยาบาลพุทธโสธร",,,"ฉะเชิงเทรา","รพ.รัฐบาล",,,
"10698","โรงพยาบาลนครนายก",,,"นครนายก","รพ.รัฐบาล",,,
"10699","โรงพยาบาลสมเด็จพระยุพราชสระแก้ว",,,"สระแก้ว","รพ.รัฐบาล",,,
"10700","โรงพยาบาลศรีสะเกษ",,,"ศรีสะเกษ","รพ.รัฐบาล",,,
"10701","โรงพยาบาลยโสธร",,,"ยโสธร","รพ.รัฐบาล",,,
"10702","โรงพยาบาลชัยภูมิ",,,"ชัยภูมิ","รพ.รัฐบาล",,,
"10703","โรงพยาบาลอำนาจเจริญ",,,"อำนาจเจริญ","รพ.รัฐบาล",,,
"10704","โรงพยาบาลหนองบัวลำภู",,,"หนองบัวลำภู","รพ.รัฐบาล",,,
"10705","โรงพยาบาลเลย",,,"เลย","รพ.รัฐบาล",,,
"10706","โรงพยาบาลหนองคาย",,,"หนองคาย","รพ.รัฐบาล",,,
"10707","โรงพยาบาลมหาสารคาม",,,"มหาสารคาม","รพ.รัฐบาล",,,
"10708","โรงพยาบาลร้อยเอ็ด",,,"ร้อยเอ็ด","รพ.รัฐบาล",,,
"10709","โรงพยาบาลกาฬสินธุ์",,,"กาฬสินธุ์","รพ.รัฐบาล",,,
"10710","โรงพยาบาลสกลนคร",,,"สกลนคร","รพ.รัฐบาล",,,
"10711","โรงพยาบาลนครพนม",,,"นครพนม","รพ.รัฐบาล",,,
"10712","โรงพยาบาลมุกดาหาร",,,"มุกดาหาร","รพ.รัฐบาล",,,
"10713","โรงพยาบาลนครพิงค์",,,"เชียงใหม่","รพ.รัฐบาล",,,
"10714","โรงพยาบาลลำพูน",,,"ลำพูน","รพ.รัฐบาล",,,
"10715","โรงพยาบาลแพร่",,,"แพร่","รพ.รัฐบาล",,,
"10716","โรงพยาบาลน่าน",,,"น่าน","รพ.รัฐบาล",,,
"10717","โรงพยาบาลพะเยา",,,"พะเยา","รพ.รัฐบาล",,,
"10718","โรงพยาบาลเชียงคำ",,,"พะเยา","รพ.รัฐบาล",,,
"10719","โรงพยาบาลศรีสังวาลย์",,,"แม่ฮ่องสอน","รพ.รัฐบาล",,,
"10720","โรงพยาบาลอุทัยธานี",,,"อุทัยธานี","รพ.รัฐบาล",,,
"10721","โรงพยาบาลกำแพงเพชร",,,"กำแพงเพชร","รพ.รัฐบาล",,,
"10722","โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช",,,"ตาก","รพ.รัฐบาล",,,
"10723","โรงพยาบาลแม่สอด",,,"ตาก","รพ.รัฐบาล",,,
"10724","โรงพยาบาลสุโขทัย",,,"สุโขทัย","รพ.รัฐบาล",,,
10725,"โรงพยาบาลศรีสังวร สุโขทัย",,,"สุโขทัย","รพ.รัฐบาล",,,
"10726","โรงพยาบาลพิจิตร",,,"พิจิตร","รพ.รัฐบาล",,,
"10727","โรงพยาบาลเพชรบูรณ์",,,"เพชรบูรณ์","รพ.รัฐบาล",,,
"10728","โรงพยาบาลดำเนินสะดวก",,,"ราชบุรี","รพ.รัฐบาล",,,
"10729","โรงพยาบาลบ้านโป่ง",,,"ราชบุรี","รพ.รัฐบาล",,,
"10730","โรงพยาบาลโพธาราม",,,"ราชบุรี","รพ.รัฐบาล",,,
"10731","โรงพยาบาลพหลพลพยุหเสนา",,,"กาญจนบุรี","รพ.รัฐบาล",,,
"10732","โรงพยาบาลมะการักษ์",,,"กาญจนบุรี","รพ.รัฐบาล",,,
"10733","โรงพยาบาลสมเด็จพระสังฆราชองค์ที่ 17",,,"สุพรรณบุรี","รพ.รัฐบาล",,,
"10734","โรงพยาบาลสมุทรสาคร",,,"สมุทรสาคร","รพ.รัฐบาล",,,
"10735","โรงพยาบาลสมเด็จพระพุทธเลิศหล้า",,,"สมุทรสงคราม","รพ.รัฐบาล",,,
10736,"โรงพยาบาลพระจอมเกล้าเพชรบุรี",,,"เพชรบุรี","รพ.รัฐบาล",,,
"10737","โรงพยาบาลประจวบคีรีขันธ์",,,"ประจวบคีรีขันธ์","รพ.รัฐบาล",,,
"10738","โรงพยาบาลกระบี่",,,"กระบี่","รพ.รัฐบาล",,,
"10739","โรงพยาบาลพังงา",,,"พังงา","รพ.รัฐบาล",,,
"10740","โรงพยาบาลตะกั่วป่า",,,"พังงา","รพ.รัฐบาล",,,
"10741","โรงพยาบาลวชิระภูเก็ต(เอกชน)",,,"ภูเก็ต","รพ.รัฐบาล",,,
"10742","โรงพยาบาลเกาะสมุย",,,"สุราษฎร์ธานี","รพ.รัฐบาล",,,
"10743","โรงพยาบาลระนอง",,,"ระนอง","รพ.รัฐบาล",,,
"10744","โรงพยาบาลชุมพรเขตอุดมศักดิ์",,,"ชุมพร","รพ.รัฐบาล",,,
"10745","โรงพยาบาลสงขลา",,,"สงขลา","รพ.รัฐบาล",,,
"10746","โรงพยาบาลสตูล",,,"สตูล","รพ.รัฐบาล",,,
"10747","โรงพยาบาลพัทลุง",,,"พัทลุง","รพ.รัฐบาล",,,
"10748","โรงพยาบาลปัตตานี",,,"ปัตตานี","รพ.รัฐบาล",,,
"10749","โรงพยาบาลเบตง",,,"ยะลา","รพ.รัฐบาล",,,
"10750","โรงพยาบาลนราธิวาสราชนครินทร์",,,"นราธิวาส","รพ.รัฐบาล",,,
"10751","โรงพยาบาลสุไหงโก-ลก",,,"นราธิวาส","รพ.รัฐบาล",,,
"10752","โรงพยาบาลบางบ่อ",,,"สมุทรปราการ","รพ.รัฐบาล",,,
"10753","โรงพยาบาลบางพลี",,,"สมุทรปราการ","รพ.รัฐบาล",,,
"10754","โรงพยาบาลบางจาก",,,"สมุทรปราการ","รพ.รัฐบาล",,,
"10755","โรงพยาบาลพระสมุทรเจดีย์สวาทยานนท์",,,"สมุทรปราการ","รพ.รัฐบาล",,,
"10756","โรงพยาบาลบางกรวย",,,"นนทบุรี","รพ.รัฐบาล",,,
"10757","โรงพยาบาลบางใหญ่",,,"นนทบุรี","รพ.รัฐบาล",,,
"10758","โรงพยาบาลบางบัวทอง",,,"นนทบุรี","รพ.รัฐบาล",,,
"10759","โรงพยาบาลไทรน้อย",,,"นนทบุรี","รพ.รัฐบาล",,,
"10760","โรงพยาบาลปากเกร็ด",,,"นนทบุรี","รพ.รัฐบาล",,,
"10761","โรงพยาบาลคลองหลวง",,,"ปทุมธานี","รพ.รัฐบาล",,,
"10763","โรงพยาบาลประชาธิปัตย์",,,"ปทุมธานี","รพ.รัฐบาล",,,
"10764","โรงพยาบาลหนองเสือ",,,"ปทุมธานี","รพ.รัฐบาล",,,
"10765","โรงพยาบาลลาดหลุมแก้ว",,,"ปทุมธานี","รพ.รัฐบาล",,,
"10766","โรงพยาบาลลำลูกกา",,,"ปทุมธานี","รพ.รัฐบาล",,,
"10767","โรงพยาบาลสามโคก",,,"ปทุมธานี","รพ.รัฐบาล",,,
"10768","โรงพยาบาลท่าเรือ",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10769","โรงพยาบาลสมเด็จพระสังฆราช(นครหลวง)",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10770","โรงพยาบาลบางไทร",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10771","โรงพยาบาลบางบาล",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10772","โรงพยาบาลบางปะอิน",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10773","โรงพยาบาลบางปะหัน",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10774","โรงพยาบาลผักไห่",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10775","โรงพยาบาลภาชี",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10776","โรงพยาบาลลาดบัวหลวง",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10777","โรงพยาบาลวังน้อย",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10778","โรงพยาบาลบางซ้าย",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10779","โรงพยาบาลอุทัย",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10781","โรงพยาบาลบ้านแพรก",,,"พระนครศรีอยุธยา","รพ.รัฐบาล",,,
"10782","โรงพยาบาลไชโย",,,"อ่างทอง","รพ.รัฐบาล",,,
"10784","โรงพยาบาลป่าโมก",,,"อ่างทอง","รพ.รัฐบาล",,,
"10785","โรงพยาบาลโพธิ์ทอง",,,"อ่างทอง","รพ.รัฐบาล",,,
"10786","โรงพยาบาลแสวงหา",,,"อ่างทอง","รพ.รัฐบาล",,,
"10787","โรงพยาบาลวิเศษชัยชาญ",,,"อ่างทอง","รพ.รัฐบาล",,,
"10788","โรงพยาบาลสามโก้",,,"อ่างทอง","รพ.รัฐบาล",,,
"10789","โรงพยาบาลพัฒนานิคม",,,"ลพบุรี","รพ.รัฐบาล",,,
"10790","โรงพยาบาลโคกสำโรง",,,"ลพบุรี","รพ.รัฐบาล",,,
"10791","โรงพยาบาลชัยบาดาล",,,"ลพบุรี","รพ.รัฐบาล",,,
"10792","โรงพยาบาลท่าวุ้ง",,,"ลพบุรี","รพ.รัฐบาล",,,
"10793","โรงพยาบาลท่าหลวง",,,"ลพบุรี","รพ.รัฐบาล",,,
"10794","โรงพยาบาลสระโบสถ์",,,"ลพบุรี","รพ.รัฐบาล",,,
"10795","โรงพยาบาลโคกเจริญ",,,"ลพบุรี","รพ.รัฐบาล",,,
"10796","โรงพยาบาลลำสนธิ",,,"ลพบุรี","รพ.รัฐบาล",,,
"10797","โรงพยาบาลหนองม่วง",,,"ลพบุรี","รพ.รัฐบาล",,,
"10798","โรงพยาบาลบางระจัน",,,"สิงห์บุรี","รพ.รัฐบาล",,,
"10799","โรงพยาบาลค่ายบางระจัน",,,"สิงห์บุรี","รพ.รัฐบาล",,,
"10800","โรงพยาบาลพรหมบุรี",,,"สิงห์บุรี","รพ.รัฐบาล",,,
"10801","โรงพยาบาลท่าช้าง",,,"สิงห์บุรี","รพ.รัฐบาล",,,
"10802","โรงพยาบาลมโนรมย์",,,"ชัยนาท","รพ.รัฐบาล",,,
"10803","โรงพยาบาลวัดสิงห์",,,"ชัยนาท","รพ.รัฐบาล",,,
"10804","โรงพยาบาลสรรพยา",,,"ชัยนาท","รพ.รัฐบาล",,,
"10805","โรงพยาบาลสรรคบุรี",,,"ชัยนาท","รพ.รัฐบาล",,,
"10806","โรงพยาบาลหันคา",,,"ชัยนาท","รพ.รัฐบาล",,,
"10807","โรงพยาบาลแก่งคอย",,,"สระบุรี","รพ.รัฐบาล",,,
"10808","โรงพยาบาลหนองแค",,,"สระบุรี","รพ.รัฐบาล",,,
"10809","โรงพยาบาลวิหารแดง",,,"สระบุรี","รพ.รัฐบาล",,,
"10810","โรงพยาบาลหนองแซง",,,"สระบุรี","รพ.รัฐบาล",,,
"10811","โรงพยาบาลบ้านหมอ",,,"สระบุรี","รพ.รัฐบาล",,,
"10812","โรงพยาบาลดอนพุด",,,"สระบุรี","รพ.รัฐบาล",,,
"10813","โรงพยาบาลหนองโดน",,,"สระบุรี","รพ.รัฐบาล",,,
"10814","โรงพยาบาลเสาไห้",,,"สระบุรี","รพ.รัฐบาล",,,
"10815","โรงพยาบาลมวกเหล็ก",,,"สระบุรี","รพ.รัฐบาล",,,
10816,"โรงพยาบาลวังม่วงสัทธรรม",,,"สระบุรี","รพ.รัฐบาล",,,
"10817","โรงพยาบาลบ้านบึง",,,"ชลบุรี","รพ.รัฐบาล",,,
"10818","โรงพยาบาลหนองใหญ่",,,"ชลบุรี","รพ.รัฐบาล",,,
"10819","โรงพยาบาลบางละมุง",,,"ชลบุรี","รพ.รัฐบาล",,,
"10820","โรงพยาบาลวัดญาณสังวราราม",,,"ชลบุรี","รพ.รัฐบาล",,,
"10821","โรงพยาบาลพานทอง",,,"ชลบุรี","รพ.รัฐบาล",,,
"10822","โรงพยาบาลพนัสนิคม",,,"ชลบุรี","รพ.รัฐบาล",,,
"10823","โรงพยาบาลแหลมฉบัง",,,"ชลบุรี","รพ.รัฐบาล",,,
"10824","โรงพยาบาลเกาะสีชัง",,,"ชลบุรี","รพ.รัฐบาล",,,
"10825","โรงพยาบาลสัตหีบ",,,"ชลบุรี","รพ.รัฐบาล",,,
"10826","โรงพยาบาลบ่อทอง",,,"ชลบุรี","รพ.รัฐบาล",,,
"10827","โรงพยาบาลมาบตาพุด",,,"ระยอง","รพ.รัฐบาล",,,
"10828","โรงพยาบาลบ้านฉาง",,,"ระยอง","รพ.รัฐบาล",,,
"10829","โรงพยาบาลแกลง",,,"ระยอง","รพ.รัฐบาล",,,
"10830","โรงพยาบาลวังจันทร์",,,"ระยอง","รพ.รัฐบาล",,,
"10831","โรงพยาบาลบ้านค่าย",,,"ระยอง","รพ.รัฐบาล",,,
"10832","โรงพยาบาลปลวกแดง",,,"ระยอง","รพ.รัฐบาล",,,
"10833","โรงพยาบาลท่าตะเกียบ",,,"ฉะเชิงเทรา","รพ.รัฐบาล",,,
"10834","โรงพยาบาลขลุง",,,"จันทบุรี","รพ.รัฐบาล",,,
"10835","โรงพยาบาลท่าใหม่",,,"จันทบุรี","รพ.รัฐบาล",,,
"10836","โรงพยาบาลเขาสุกิม",,,"จันทบุรี","รพ.รัฐบาล",,,
"10837","โรงพยาบาลสามพี่น้อง",,,"จันทบุรี","รพ.รัฐบาล",,,
"10838","โรงพยาบาลโป่งน้ำร้อน",,,"จันทบุรี","รพ.รัฐบาล",,,
"10839","โรงพยาบาลมะขาม",,,"จันทบุรี","รพ.รัฐบาล",,,
"10840","โรงพยาบาลแหลมสิงห์",,,"จันทบุรี","รพ.รัฐบาล",,,
"10841","โรงพยาบาลสอยดาว",,,"จันทบุรี","รพ.รัฐบาล",,,
"10842","โรงพยาบาลแก่งหางแมว",,,"จันทบุรี","รพ.รัฐบาล",,,
"10843","โรงพยาบาลนายายอาม",,,"จันทบุรี","รพ.รัฐบาล",,,
"10844","โรงพยาบาลเขาคิชกูฎ",,,"จันทบุรี","รพ.รัฐบาล",,,
"10845","โรงพยาบาลคลองใหญ่",,,"ตราด","รพ.รัฐบาล",,,
"10846","โรงพยาบาลเขาสมิง",,,"ตราด","รพ.รัฐบาล",,,
"10847","โรงพยาบาลบ่อไร่",,,"ตราด","รพ.รัฐบาล",,,
"10848","โรงพยาบาลแหลมงอบ",,,"ตราด","รพ.รัฐบาล",,,
"10849","โรงพยาบาลเกาะกูด",,,"ตราด","รพ.รัฐบาล",,,
"10850","โรงพยาบาลบางคล้า",,,"ฉะเชิงเทรา","รพ.รัฐบาล",,,
"10851","โรงพยาบาลบางน้ำเปรี้ยว",,,"ฉะเชิงเทรา","รพ.รัฐบาล",,,
"10852","โรงพยาบาลบางปะกง",,,"ฉะเชิงเทรา","รพ.รัฐบาล",,,
"10853","โรงพยาบาลบ้านโพธิ์",,,"ฉะเชิงเทรา","รพ.รัฐบาล",,,
"10854","โรงพยาบาลพนมสารคาม",,,"ฉะเชิงเทรา","รพ.รัฐบาล",,,
"10855","โรงพยาบาลสนามชัยเขต",,,"ฉะเชิงเทรา","รพ.รัฐบาล",,,
"10856","โรงพยาบาลแปลงยาว",,,"ฉะเชิงเทรา","รพ.รัฐบาล",,,
"10857","โรงพยาบาลกบินทร์บุรี",,,"ปราจีนบุรี","รพ.รัฐบาล",,,
"10858","โรงพยาบาลนาดี",,,"ปราจีนบุรี","รพ.รัฐบาล",,,
"10859","โรงพยาบาลบ้านสร้าง",,,"ปราจีนบุรี","รพ.รัฐบาล",,,
"10860","โรงพยาบาลประจันตคาม",,,"ปราจีนบุรี","รพ.รัฐบาล",,,
"10861","โรงพยาบาลศรีมหาโพธิ",,,"ปราจีนบุรี","รพ.รัฐบาล",,,
"10862","โรงพยาบาลศรีมโหสถ",,,"ปราจีนบุรี","รพ.รัฐบาล",,,
"10863","โรงพยาบาลปากพลี",,,"นครนายก","รพ.รัฐบาล",,,
"10864","โรงพยาบาลบ้านนา",,,"นครนายก","รพ.รัฐบาล",,,
"10865","โรงพยาบาลองครักษ์",,,"นครนายก","รพ.รัฐบาล",,,
"10866","โรงพยาบาลคลองหาด",,,"สระแก้ว","รพ.รัฐบาล",,,
"10867","โรงพยาบาลตาพระยา",,,"สระแก้ว","รพ.รัฐบาล",,,
"10868","โรงพยาบาลวังน้ำเย็น",,,"สระแก้ว","รพ.รัฐบาล",,,
"10869","โรงพยาบาลวัฒนานคร",,,"สระแก้ว","รพ.รัฐบาล",,,
"10870","โรงพยาบาลอรัญประเทศ",,,"สระแก้ว","รพ.รัฐบาล",,,
"10871","โรงพยาบาลครบุรี",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10872","โรงพยาบาลเสิงสาง",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10873","โรงพยาบาลคง",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10874","โรงพยาบาลบ้านเหลื่อม",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10875","โรงพยาบาลจักราช",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10876","โรงพยาบาลโชคชัย",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10877","โรงพยาบาลด่านขุนทด",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10878","โรงพยาบาลโนนไทย",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10879","โรงพยาบาลโนนสูง",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10880","โรงพยาบาลขามสะแกแสง",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10881","โรงพยาบาลบัวใหญ่",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10882","โรงพยาบาลประทาย",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10883","โรงพยาบาลปักธงชัย",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10884","โรงพยาบาลพิมาย",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10885","โรงพยาบาลห้วยแถลง",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10886","โรงพยาบาลชุมพวง",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10887","โรงพยาบาลสูงเนิน",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10888","โรงพยาบาลขามทะเลสอ",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10889","โรงพยาบาลสีคิ้ว",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10890","โรงพยาบาลปากช่องนานา",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10891","โรงพยาบาลหนองบุญมาก",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10892","โรงพยาบาลแก้งสนามนาง",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10893","โรงพยาบาลโนนแดง",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10894","โรงพยาบาลวังน้ำเขียว",,,"นครราชสีมา","รพ.รัฐบาล",,,
"10895","โรงพยาบาลคูเมือง",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10896","โรงพยาบาลกระสัง",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10897","โรงพยาบาลนางรอง",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10898","โรงพยาบาลหนองกี่",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10899","โรงพยาบาลละหานทราย",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10900","โรงพยาบาลประโคนชัย",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10901","โรงพยาบาลบ้านกรวด",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10902","โรงพยาบาลพุทไธสง",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10904","โรงพยาบาลลำปลายมาศ",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10905","โรงพยาบาลสตึก",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10906","โรงพยาบาลปะคำ",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10907","โรงพยาบาลนาโพธิ์",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10908","โรงพยาบาลหนองหงส์",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10909","โรงพยาบาลพลับพลาชัย",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10910","โรงพยาบาลห้วยราช",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10911","โรงพยาบาลโนนสุวรรณ",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10912","โรงพยาบาลชำนิ",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10913","โรงพยาบาลบ้านใหม่ไชยพจน์",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10914","โรงพยาบาลโนนดินแดง",,,"บุรีรัมย์","รพ.รัฐบาล",,,
"10915","โรงพยาบาลชุมพลบุรี",,,"สุรินทร์","รพ.รัฐบาล",,,
"10916","โรงพยาบาลท่าตูม",,,"สุรินทร์","รพ.รัฐบาล",,,
"10917","โรงพยาบาลจอมพระ",,,"สุรินทร์","รพ.รัฐบาล",,,
"10918","โรงพยาบาลปราสาท",,,"สุรินทร์","รพ.รัฐบาล",,,
"10919","โรงพยาบาลกาบเชิง",,,"สุรินทร์","รพ.รัฐบาล",,,
"10920","โรงพยาบาลรัตนบุรี",,,"สุรินทร์","รพ.รัฐบาล",,,
"10921","โรงพยาบาลสนม",,,"สุรินทร์","รพ.รัฐบาล",,,
"10922","โรงพยาบาลศีขรภูมิ",,,"สุรินทร์","รพ.รัฐบาล",,,
"10923","โรงพยาบาลสังขะ",,,"สุรินทร์","รพ.รัฐบาล",,,
"10924","โรงพยาบาลลำดวน",,,"สุรินทร์","รพ.รัฐบาล",,,
"10925","โรงพยาบาลสำโรงทาบ",,,"สุรินทร์","รพ.รัฐบาล",,,
"10926","โรงพยาบาลบัวเชด",,,"สุรินทร์","รพ.รัฐบาล",,,
"10927","โรงพยาบาลยางชุมน้อย",,,"ศรีสะเกษ","รพ.รัฐบาล",,,
"10928","โรงพยาบาลกันทรารมย์",,,"ศรีสะเกษ","รพ.รัฐบาล",,,
"10929","โรงพยาบาลกันทรลักษ์",,,"ศรีสะเกษ","รพ.รัฐบาล",,,
"10930","โรงพยาบาลขุขันธ์",,,"ศรีสะเกษ","รพ.รัฐบาล",,,
